City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.52,-28.7,69.58,80,5,11.59,PT,1595109849
Rikitea,-23.12,-134.97,72.41,79,23,19.22,PF,1595109849
Ilulissat,69.22,-51.1,57.2,33,100,3.36,GL,1595109849
Tuktoyaktuk,69.45,-133.04,41.0,93,90,11.41,CA,1595109849
Alofi,-19.06,-169.92,78.8,69,84,8.05,NU,1595109665
Leshukonskoye,64.9,45.76,49.96,90,62,3.4,RU,1595109849
Bluff,-46.6,168.33,38.98,74,0,7.54,NZ,1595109849
Hermanus,-34.42,19.23,50.0,95,0,5.82,ZA,1595109850
Kahului,20.89,-156.47,91.4,49,40,23.04,US,1595109712
Albany,42.6,-73.97,91.99,38,35,4.43,US,1595109807
Ushuaia,-54.8,-68.3,32.0,94,75,3.36,AR,1595109685
Province of Mantua,45.17,10.78,69.01,62,0,5.01,IT,1595109837
Arraial do Cabo,-22.97,-42.03,71.6,73,0,14.99,BR,1595109850
Gemeente Wageningen,51.97,5.67,68.0,88,90,6.93,NL,1595109851
Raudeberg,61.99,5.14,57.2,71,1,17.22,NO,1595109851
Mīzan Teferī,6.98,35.58,61.66,95,100,0.56,ET,1595109851
Punta Arenas,-53.15,-70.92,35.6,80,90,18.34,CL,1595109706
Ust-Kuyga,70.02,135.6,63.54,38,100,5.77,RU,1595109851
Teluk Nibung,3.0,99.82,75.25,92,89,3.71,ID,1595109851
Castro,-24.79,-50.01,60.37,88,8,4.56,BR,1595109851
Faanui,-16.48,-151.75,75.4,83,93,18.92,PF,1595109852
Busselton,-33.65,115.33,51.01,80,58,4.94,AU,1595109562
Kaitangata,-46.28,169.85,35.01,81,1,3.0,NZ,1595109852
Iwanai,42.97,140.51,68.54,82,95,2.28,JP,1595109852
Ponta do Sol,32.67,-17.1,69.01,70,15,1.9,PT,1595109852
Mataura,-46.19,168.86,37.22,76,0,2.48,NZ,1595109852
São Filipe,14.9,-24.5,75.9,76,35,8.95,CV,1595109852
Ancud,-41.87,-73.82,52.0,87,75,17.22,CL,1595109853
Bredasdorp,-34.53,20.04,50.0,93,0,4.7,ZA,1595109853
Cairns,-16.92,145.77,60.8,82,40,1.12,AU,1595109853
Dno,57.83,29.96,60.71,78,100,2.19,RU,1595109853
Cape Town,-33.93,18.42,55.99,93,0,4.7,ZA,1595109853
Dunedin,-45.87,170.5,50.0,79,0,4.0,NZ,1595109853
Ikom,5.97,8.71,72.3,96,87,2.44,NG,1595109853
Necochea,-38.55,-58.74,48.0,94,90,1.99,AR,1595109854
Barrow,71.29,-156.79,37.4,80,75,13.87,US,1595109854
Leningradskiy,69.38,178.42,39.94,76,90,11.56,RU,1595109854
Thompson,55.74,-97.86,71.6,49,75,9.17,CA,1595109854
Perth,-31.93,115.83,45.0,100,40,5.82,AU,1595109691
Naze,28.37,129.48,82.4,88,75,17.22,JP,1595109855
Talnakh,69.49,88.4,50.0,87,47,8.95,RU,1595109855
Cabo San Lucas,22.89,-109.91,91.4,43,5,4.7,MX,1595109732
Severo-Kuril'sk,50.68,156.12,52.57,85,68,11.34,RU,1595109855
Geraldton,-28.77,114.6,48.2,93,3,6.93,AU,1595109855
Yellowknife,62.46,-114.35,73.0,49,40,13.87,CA,1595109855
San Patricio,19.22,-104.7,89.6,75,40,17.22,MX,1595109855
Westport,41.14,-73.36,90.0,40,1,8.05,US,1595109856
Karratha,-20.74,116.85,65.89,75,75,10.0,AU,1595109856
Kaduy,59.2,37.15,53.73,84,0,4.27,RU,1595109856
Maposeni,-10.58,35.4,53.91,76,52,3.33,TZ,1595109856
Upata,8.01,-62.4,88.0,72,86,4.0,VE,1595109585
Cherskiy,68.75,161.3,63.95,58,0,5.06,RU,1595109857
Avarua,-21.21,-159.78,75.2,64,76,17.22,CK,1595109784
Lompoc,34.64,-120.46,72.0,60,4,14.99,US,1595109857
Atuona,-9.8,-139.03,79.36,77,51,14.14,PF,1595109857
Laas,46.62,10.7,55.4,66,40,5.82,IT,1595109857
North Branch,45.51,-92.98,87.01,77,5,1.99,US,1595109857
Port Alfred,-33.59,26.89,61.32,71,0,11.12,ZA,1595109857
Diré,12.28,-10.97,73.58,95,100,3.65,ML,1595109857
Anadyr,64.75,177.48,51.8,66,40,13.42,RU,1595109858
Payyanur,12.1,75.2,77.81,86,100,1.79,IN,1595109858
Qidong,31.81,121.66,81.0,95,98,8.95,CN,1595109858
Pak Phanang,8.35,100.2,79.65,82,15,3.65,TH,1595109858
Jamestown,42.1,-79.24,84.2,54,20,6.93,US,1595109858
Katherine,-14.47,132.27,53.6,62,0,4.7,AU,1595109859
Cidreira,-30.18,-50.21,65.48,85,0,10.0,BR,1595109859
Port Blair,11.67,92.75,80.89,79,53,7.09,IN,1595109859
Beringovskiy,63.05,179.32,51.3,88,99,5.3,RU,1595109859
Hilo,19.73,-155.09,80.6,78,90,8.05,US,1595109859
Lingion,8.19,124.61,75.0,90,15,5.01,PH,1595109859
Coahuayana Viejo,18.73,-103.68,84.2,62,75,11.41,MX,1595109859
Butaritari,3.07,172.79,82.99,76,0,14.9,KI,1595109859
Vila Velha,-20.33,-40.29,72.0,73,40,5.82,BR,1595109697
Dubrovytsya,51.57,26.57,60.4,87,42,6.06,UA,1595109860
Hobart,-42.88,147.33,50.0,76,75,8.05,AU,1595109660
Lovozero,68.0,35.01,62.87,68,100,5.19,RU,1595109860
Mayumba,-3.43,10.66,70.16,92,22,2.57,GA,1595109860
Youkounkoun,12.53,-13.13,75.99,86,100,7.65,GN,1595109860
San Cristobal,7.77,-72.22,91.4,38,40,10.29,VE,1595109861
Walvis Bay,-22.96,14.51,69.8,13,0,18.34,NA,1595109861
Sabang,5.89,95.32,82.18,73,58,2.1,ID,1595109861
Chui,-33.7,-53.46,64.85,90,96,6.13,UY,1595109861
Flin Flon,54.77,-101.86,62.6,88,90,6.93,CA,1595109861
Vaini,-21.2,-175.2,77.0,94,75,9.17,TO,1595109861
Hithadhoo,-0.6,73.08,81.72,70,100,22.93,MV,1595109861
Mahébourg,-20.41,57.7,69.8,73,75,16.11,MU,1595109861
Sauda,59.65,6.35,55.0,93,100,1.99,NO,1595109862
Pevek,69.7,170.31,43.48,71,12,4.23,RU,1595109862
Saint-Philippe,-21.36,55.77,66.2,77,90,13.87,RE,1595109862
Yining,29.04,114.56,76.82,91,90,2.93,CN,1595109862
Cudahy,33.96,-118.19,88.0,53,1,11.48,US,1595109861
Port Lincoln,-34.73,135.87,55.22,72,57,20.42,AU,1595109863
Norman Wells,65.28,-126.83,69.8,68,75,13.87,CA,1595109863
Yumen,40.28,97.2,64.67,28,47,3.58,CN,1595109863
Abaza,52.66,90.09,48.07,91,38,0.98,RU,1595109863
Nanortalik,60.14,-45.24,48.97,74,60,2.66,GL,1595109863
Buin,-33.73,-70.75,55.4,76,90,2.35,CL,1595109864
Shimoda,34.67,138.95,66.99,96,100,14.18,JP,1595109864
Avera,33.19,-82.53,95.0,41,1,6.93,US,1595109864
Fuling,29.7,107.39,73.45,90,92,1.59,CN,1595109864
Berlevåg,70.86,29.09,52.34,82,98,4.65,NO,1595109864
Saint George,37.1,-113.58,104.0,11,1,4.7,US,1595109865
Portland,45.52,-122.68,82.99,44,1,8.05,US,1595109735
New Norfolk,-42.78,147.06,46.0,83,63,2.75,AU,1595109865
Korāput,18.82,82.72,72.79,92,95,3.53,IN,1595109670
Orlik,52.52,99.83,38.08,80,1,0.11,RU,1595109865
Tasiilaq,65.61,-37.64,50.0,62,18,10.29,GL,1595109865
Salalah,17.02,54.09,82.4,94,75,9.17,OM,1595109865
Sambava,-14.27,50.17,66.67,77,0,13.65,MG,1595109865
Brooks,50.58,-111.89,69.01,56,25,1.99,CA,1595109607
Zarubino,42.63,131.09,65.21,94,50,5.08,RU,1595109866
Polunochnoye,60.87,60.42,58.12,78,7,3.42,RU,1595109866
Nikolskoye,59.7,30.79,60.8,67,100,4.47,RU,1595109866
Puerto Ayora,-0.74,-90.35,78.8,65,40,19.46,EC,1595109859
Mar del Plata,-38.0,-57.56,52.0,93,100,4.65,AR,1595109866
Quirinópolis,-18.45,-50.45,72.99,39,0,7.09,BR,1595109677
Bandar-e Anzali,37.47,49.46,80.6,83,75,4.99,IR,1595109867
Nyurba,63.28,118.33,56.39,86,23,5.91,RU,1595109867
Clyde River,70.47,-68.59,42.8,87,75,14.99,CA,1595109867
Porosozero,62.72,32.73,58.62,74,89,2.57,RU,1595109867
Ughelli,5.49,6.01,74.77,95,100,3.29,NG,1595109867
Alausí,-2.2,-78.83,50.74,80,89,3.8,EC,1595109867
Angostura,25.37,-108.18,98.01,52,1,7.0,MX,1595109867
Suntar,62.14,117.63,55.45,86,23,5.01,RU,1595109868
Khatanga,71.97,102.5,47.1,78,100,4.29,RU,1595109868
Masunga,-20.62,27.45,46.98,67,0,9.31,BW,1595109868
Nobeoka,32.58,131.67,73.0,88,100,1.01,JP,1595109868
Souillac,-20.52,57.52,69.8,73,75,16.11,MU,1595109868
Manatí,18.43,-66.49,86.0,70,40,12.75,PR,1595109868
Korla,41.76,86.15,88.0,72,98,3.0,CN,1595109869
Saint Paul Harbor,57.79,-152.41,62.6,72,90,6.93,US,1595109638
Port Keats,-14.25,129.55,60.84,53,0,6.26,AU,1595109869
Alice Springs,-23.7,133.88,44.6,36,0,5.82,AU,1595109869
Marsh Harbour,26.54,-77.06,82.87,78,100,14.16,BS,1595109869
Husavik,66.04,-17.34,44.6,70,75,16.11,IS,1595109869
Zelenoborsk,61.47,64.03,63.05,85,0,3.91,RU,1595109869
Rørvik,64.86,11.24,56.75,82,100,5.53,NO,1595109869
Carnarvon,-24.87,113.63,48.2,87,0,9.17,AU,1595109707
Qaanaaq,77.48,-69.36,48.97,67,90,2.01,GL,1595109870
Sakakah,29.97,40.21,93.2,14,11,8.05,SA,1595109870
Esperance,-33.87,121.9,48.2,100,40,2.24,AU,1595109870
East London,-33.02,27.91,65.05,42,0,10.33,ZA,1595109870
Santa Cruz de la Sierra,-17.8,-63.17,82.4,61,20,23.04,BO,1595109614
Kavieng,-2.57,150.8,82.17,75,100,7.05,PG,1595109870
Saint-Pierre,-21.34,55.48,66.2,77,90,13.87,RE,1595109870
Abnūb,27.27,31.15,82.4,39,0,9.17,EG,1595109871
Lüderitz,-26.65,15.16,69.8,18,0,10.29,NA,1595109871
Hualmay,-11.1,-77.61,63.52,73,20,9.46,PE,1595109871
Boden,65.83,21.69,62.6,93,27,3.36,SE,1595109871
San Jose,37.34,-121.89,84.0,47,5,10.29,US,1595109842
Kargasok,59.06,80.86,60.67,74,59,6.96,RU,1595109872
Hambantota,6.12,81.12,77.0,94,83,4.7,LK,1595109872
Mudgee,-32.59,149.59,33.8,100,90,0.72,AU,1595109611
Jiangyou,31.77,104.72,68.77,64,3,4.45,CN,1595109872
Porto Velho,-8.76,-63.9,91.4,43,20,5.82,BR,1595109828
Jining,35.41,116.58,71.26,84,100,6.91,CN,1595109872
Šakiai,54.95,23.04,62.6,72,3,1.12,LT,1595109872
Nelson Bay,-32.72,152.15,46.99,100,90,6.93,AU,1595109873
Kristinestad,62.27,21.38,62.65,86,44,9.46,FI,1595109873
Mariinskiy Posad,56.12,47.72,60.8,93,100,4.47,RU,1595109873
Nantucket,41.28,-70.1,75.0,88,90,9.17,US,1595109873
Harjavalta,61.32,22.13,60.8,87,63,4.7,FI,1595109873
Worland,44.02,-107.96,84.99,25,1,5.82,US,1595109873
Sørland,67.67,12.69,54.73,85,59,16.73,NO,1595109873
Cortez,37.35,-108.59,93.2,18,20,4.7,US,1595109873
Pangnirtung,66.15,-65.71,58.24,54,51,3.22,CA,1595109874
Egvekinot,66.32,-179.17,45.97,65,46,7.23,RU,1595109874
Lata,40.16,-8.33,66.99,88,40,4.7,PT,1595109874
Houston,29.76,-95.36,93.0,55,75,16.11,US,1595109466
Bathsheba,13.22,-59.52,84.2,74,40,16.11,BB,1595109874
George Town,5.41,100.34,77.0,100,40,2.24,MY,1595109674
Vostok,46.49,135.88,70.81,74,6,1.68,RU,1595109875
Kapaa,22.08,-159.32,84.2,74,40,10.29,US,1595109875
Araouane,18.9,-3.53,96.22,29,75,15.1,ML,1595109875
Peniche,39.36,-9.38,66.99,90,0,5.99,PT,1595109875
Adjumani,3.38,31.79,65.97,81,98,2.55,UG,1595109875
Copiapó,-27.37,-70.33,57.2,62,0,9.17,CL,1595109875
Cordon,16.67,121.47,73.69,88,95,1.83,PH,1595109875
Eydhafushi,5.1,73.07,82.6,76,100,20.49,MV,1595109875
Airai,-8.93,125.41,55.02,53,74,2.84,TL,1595109876
Skellefteå,64.75,20.95,63.0,82,19,5.82,SE,1595109876
Ware,51.81,-0.03,64.99,76,78,4.54,GB,1595109876
Palmer,42.16,-72.33,91.99,29,20,10.29,US,1595109876
Bubaque,11.28,-15.83,77.97,89,100,14.92,GW,1595109876
Pangai,-19.8,-174.35,78.8,83,75,8.05,TO,1595109877
Vardø,70.37,31.11,50.61,92,100,4.63,NO,1595109877
Narsaq,60.92,-46.05,66.2,39,33,4.7,GL,1595109877
Mogadishu,2.04,45.34,76.84,80,69,21.72,SO,1595109877
Vaitape,-16.52,-151.75,76.19,81,94,18.9,PF,1595109877
Barranco,9.52,-82.7,84.2,79,75,3.36,PA,1595109877
Cayenne,4.93,-52.33,78.8,88,100,3.36,GF,1595109616
Juradó,7.11,-77.76,82.08,79,97,4.38,CO,1595109878
Dikson,73.51,80.55,39.51,94,100,7.74,RU,1595109878
Pirovskoye,57.63,92.27,46.98,87,3,1.74,RU,1595109878
Kruisfontein,-34.0,24.73,52.3,82,0,6.76,ZA,1595109878
Chokurdakh,70.63,147.92,52.95,49,0,12.64,RU,1595109878
Seabra,-12.42,-41.77,61.39,79,24,6.2,BR,1595109695
Naifaru,5.44,73.37,82.85,74,100,17.74,MV,1595109879
Taihecun,45.8,130.85,69.49,73,29,4.99,CN,1595109879
Auki,-8.77,160.7,82.15,72,42,4.21,SB,1595109879
Bentiu,9.23,29.83,70.72,92,100,4.68,SS,1595109879
Hirara,24.8,125.28,84.2,83,75,6.93,JP,1595109879
Tilichiki,60.47,166.1,49.32,98,100,2.62,RU,1595109879
Raja,8.46,25.68,70.39,94,98,5.73,SS,1595109879
Bogovina,43.9,21.94,62.6,88,90,3.36,RS,1595109879
Bethel,41.37,-73.41,91.0,35,1,9.17,US,1595109879
Makueni Boma,-1.8,37.62,61.25,70,100,3.78,KE,1595109880
Mabua,9.81,125.44,80.08,77,92,4.63,PH,1595109880
Maibong,25.3,93.17,74.46,89,100,5.79,IN,1595109880
Port Macquarie,-31.43,152.92,48.99,98,51,4.14,AU,1595109880
Chicama,-7.84,-79.15,66.51,69,19,9.55,PE,1595109880
Arrondissement d'Ajaccio,42.0,8.92,71.6,78,0,5.82,FR,1595109881
Severomuysk,56.15,113.43,45.3,87,100,5.97,RU,1595109881
Lavrentiya,65.58,-171.0,50.02,67,88,7.56,RU,1595109881
Imbituba,-28.24,-48.67,68.0,77,0,13.87,BR,1595109881
Gambo,4.65,22.26,69.31,96,96,1.21,CF,1595109881
Provideniya,64.38,-173.3,47.23,72,91,3.44,RU,1595109881
Mattru,7.62,-11.83,70.38,93,100,1.59,SL,1595109881
Mae Sai,20.43,99.88,77.0,100,20,1.39,TH,1595109881
Basco,20.45,121.97,84.49,81,27,15.08,PH,1595109882
Abadan,38.05,58.21,87.8,23,0,4.7,TM,1595109882
Ucluelet,48.93,-125.55,66.0,87,20,10.29,CA,1595109619
Yar-Sale,66.83,70.83,49.28,93,99,11.1,RU,1595109882
Luanda,-8.84,13.23,69.8,94,75,6.93,AO,1595109769
Northam,51.03,-4.22,60.01,96,100,7.0,GB,1595109882
Waverly,42.74,-84.62,89.6,55,40,16.11,US,1595109883
Chālūs,36.66,51.42,80.6,83,75,2.53,IR,1595109883
Ahipara,-35.17,173.17,60.1,89,100,11.83,NZ,1595109883
Dubbo,-32.25,148.62,37.4,100,40,9.17,AU,1595109760
Vila Franca do Campo,37.72,-25.43,68.0,77,75,5.82,PT,1595109883
Imeni Babushkina,59.76,43.13,54.28,96,0,4.23,RU,1595109883
São Luiz Gonzaga,-28.41,-54.96,68.88,86,0,8.25,BR,1595109687
Neiafu,-18.65,-173.98,78.8,78,40,14.99,TO,1595109884
Arraias,-12.93,-46.94,72.03,47,0,6.13,BR,1595109884
Eureka,40.8,-124.16,71.01,63,1,10.29,US,1595109884
Bambous Virieux,-20.34,57.76,69.8,73,75,16.11,MU,1595109863
Port Hedland,-20.32,118.57,64.4,77,75,8.05,AU,1595109885
Tura,25.52,90.22,75.43,97,100,5.35,IN,1595109885
Saskylakh,71.92,114.08,46.62,69,27,11.45,RU,1595109885
Sobolevo,54.43,31.9,55.81,85,0,3.31,RU,1595109885
San Carlos,9.66,-68.58,80.1,87,99,1.68,VE,1595109822
Constitución,-35.33,-72.42,55.58,85,83,13.42,CL,1595109885
Corinth,37.94,22.96,73.0,52,0,3.02,GR,1595109885
Tautira,-17.73,-149.15,80.6,69,75,4.7,PF,1595109885
Pampierstad,-27.78,24.69,39.61,66,0,1.12,ZA,1595109886
La Ronge,55.1,-105.28,66.2,77,75,5.82,CA,1595109886
Novo Aripuanã,-5.12,-60.38,82.92,67,67,1.77,BR,1595109886
Burnie,-41.07,145.92,48.99,89,100,11.01,AU,1595109886
Sur,22.57,59.53,86.41,71,9,7.58,OM,1595109886
Uyemskiy,64.47,40.85,50.0,100,37,0.76,RU,1595109886
Grand Gaube,-20.01,57.66,69.01,67,1,5.01,MU,1595109886
Dzerzhinsk,56.24,43.46,61.0,93,20,4.12,RU,1595109887
Honningsvåg,70.98,25.97,51.96,81,38,4.65,NO,1595109887
Tulagi,-9.1,160.15,77.0,88,90,2.24,SB,1595109887
Dudinka,69.41,86.18,50.0,87,93,8.95,RU,1595109887
Aripuanã,-9.17,-60.63,84.83,47,15,2.53,BR,1595109887
Pauini,-7.71,-66.98,85.35,55,53,1.77,BR,1595109887
Ambon City,-3.7,128.18,75.99,94,75,4.7,ID,1595109714
Port Elizabeth,-33.92,25.57,59.0,82,0,13.87,ZA,1595109858
Lamu,-2.27,40.9,76.37,79,15,21.77,KE,1595109888
Soyo,-6.13,12.37,71.46,88,0,5.35,AO,1595109888
Port Augusta,-32.5,137.77,44.6,100,0,10.29,AU,1595109888
Meiktila,20.87,95.87,77.31,84,100,13.69,MM,1595109888
Hillcrest Heights,38.83,-76.96,98.01,30,20,8.05,US,1595109888
Revda,56.8,59.93,62.6,88,98,7.72,RU,1595109888
Pangkalanbuun,-2.68,111.62,72.99,98,50,1.68,ID,1595109889
Coudekerque-Branche,51.02,2.39,61.0,87,1,4.7,FR,1595109889
Tokur,53.13,132.9,68.11,89,0,2.66,RU,1595109889
Minsk,53.9,27.57,55.4,93,0,2.24,BY,1595109843
Richards Bay,-28.78,32.04,58.01,62,0,6.73,ZA,1595109889
Sinnamary,5.38,-52.95,79.41,84,92,9.78,GF,1595109889
Mana,5.66,-53.78,79.66,83,95,10.42,GF,1595109889
Tiksi,71.69,128.87,48.88,98,100,7.99,RU,1595109890
Longyearbyen,78.22,15.64,46.4,70,75,11.41,SJ,1595109610
Tigil',57.8,158.67,53.94,90,97,5.44,RU,1595109890
Landeck,47.13,10.56,55.4,66,40,5.82,AT,1595109890
Sola,-13.88,167.55,80.6,94,75,3.42,VU,1595109890
Fortuna,40.6,-124.16,71.01,64,20,12.75,US,1595109868
Muros,42.78,-9.06,71.01,58,0,3.15,ES,1595109891
Churapcha,62.0,132.43,64.56,83,80,5.61,RU,1595109891
Tezu,27.92,96.17,76.19,87,100,2.06,IN,1595109891
Kralendijk,12.15,-68.27,86.0,70,40,19.46,BQ,1595109843
